song_id,keyword,lyric_time_sec,beat_index,time_sec,sign_id,difficulty
boat_song,바다,11.18,24,11.04,,mid
boat_song,무엇,13.18,29,13.19466667,,mid
boat_song,바람,14.96,33,14.90133333,,mid
boat_song,바다,14.96,33,14.90133333,,mid
boat_song,날개,18.26,41,18.336,,mid
boat_song,두둥실,20.08,45,20.04266667,,mid
boat_song,물결,22.18,50,22.19733333,,mid
boat_song,바다,25.02,57,25.184,,mid
boat_song,바람,25.02,57,25.184,,mid
boat_song,돛단배,29,66,29.04533333,,mid
boat_song,배,29.93333333,68,29.90933333,,mid
boat_song,바다,42.1,96,41.90933333,,mid
boat_song,물결,42.76,98,42.76266667,,mid
boat_song,돛단배,44,101,44.05333333,,mid
boat_song,하나,45,103,44.90666667,,mid
boat_song,바다,45.52,104,45.33333333,,mid
boat_song,건너,47.3,109,47.47733333,,mid
boat_song,여행,48.04,110,47.91466667,,mid
boat_song,친구,49.1,113,49.19466667,,mid
boat_song,바다,50.96,117,50.90133333,,mid
boat_song,바람,50.96,117,50.90133333,,mid
boat_song,갈매기,55.94,129,56.05333333,,mid
boat_song,춤,57.9240625,133,57.77066667,,mid
