beat_index,time_sec
0,1.3546666666666667
1,1.8773333333333333
2,2.3893333333333335
3,2.8906666666666667
4,3.4026666666666667
5,3.904
6,4.426666666666667
7,4.906666666666666
8,5.397333333333333
9,5.9093333333333335
10,6.389333333333333
11,6.890666666666666
12,7.381333333333333
13,7.850666666666666
14,8.330666666666668
15,8.853333333333333
16,9.365333333333334
17,9.845333333333333
18,10.357333333333333
19,10.826666666666666
20,11.36
21,11.850666666666667
22,12.309333333333333
23,12.789333333333333
24,13.312
25,13.802666666666667
26,14.304
27,14.816
28,15.296
29,15.797333333333333
30,16.352
31,16.864
32,17.354666666666667
33,17.856
34,18.336
35,18.869333333333334
36,19.349333333333334
37,19.829333333333334
38,20.288
39,20.778666666666666
40,21.258666666666667
41,21.728
42,22.24
43,22.741333333333333
44,23.21066666666667
45,23.648
46,24.213333333333335
47,24.736
48,25.162666666666667
49,25.653333333333332
50,26.154666666666667
51,26.634666666666668
52,27.125333333333334
53,27.584
54,28.010666666666665
55,28.490666666666666
56,29.045333333333332
57,29.514666666666667
58,29.984
59,30.474666666666668
60,30.965333333333334
61,31.434666666666665
62,31.936
63,32.46933333333333
64,32.970666666666666
65,33.408
66,33.87733333333333
67,34.38933333333333
68,34.88
69,35.36
70,35.82933333333333
71,36.29866666666667
72,36.768
73,37.23733333333333
74,37.73866666666667
75,38.22933333333334
76,38.67733333333333
77,39.14666666666667
78,39.626666666666665
79,40.17066666666667
80,40.629333333333335
81,41.088
82,41.632
83,42.101333333333336
84,42.58133333333333
85,43.050666666666665
86,43.53066666666667
87,43.97866666666667
88,44.448
89,44.928
90,45.41866666666667
91,45.888
92,46.37866666666667
93,46.93333333333333
94,47.424
95,47.85066666666667
96,48.266666666666666
97,48.74666666666667
98,49.25866666666667
99,49.728
100,50.29333333333334
101,50.784
102,51.27466666666667
103,51.754666666666665
104,52.224
105,52.693333333333335
106,53.152
107,53.64266666666666
108,54.13333333333333
109,54.602666666666664
110,55.114666666666665
111,55.605333333333334
112,56.074666666666666
113,56.576
114,57.04533333333333
115,57.55733333333333
116,58.026666666666664
117,58.528
118,59.008
119,59.488
120,59.95733333333333
121,60.40533333333333
122,60.91733333333333
123,61.376
124,61.856
125,62.35733333333334
126,62.82666666666667
127,63.31733333333333
128,63.776
129,64.24533333333333
130,64.75733333333334
131,65.22666666666667
132,65.696
133,66.16533333333334
134,66.72
135,67.18933333333334
136,67.69066666666667
137,68.21333333333334
138,68.704
139,69.20533333333333
140,69.70666666666666
141,70.21866666666666
142,70.70933333333333
143,71.21066666666667
144,71.70133333333334
145,72.20266666666667
146,72.69333333333333
147,73.25866666666667
148,73.728
149,74.22933333333333
150,74.70933333333333
151,75.18933333333334
152,75.70133333333334
153,76.192
154,76.672
155,77.152
156,77.65333333333334
157,78.13333333333334
158,78.63466666666666
159,79.136
160,79.63733333333333
161,80.128
162,80.576
